Cycle,District,Jurisdiction,Name,Path,Race,Station
2018,AZ 01,Federal,DCCC T OHALLERAN FOR US CONGRESS AZ-1,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 01/DCCC T OHALLERAN FOR US CONGRESS AZ-1,,KPHO-TV
2018,AZ 01,Federal,T OHALLERAN FOR US CONGRESS AZ-1,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 01/T OHALLERAN FOR US CONGRESS AZ-1,,KPHO-TV
2018,AZ 01,Federal,TIFFANY SHEDD FOR US CONGRESS AS-1,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 01/TIFFANY SHEDD FOR US CONGRESS AS-1,,KPHO-TV
2018,AZ 01,Federal,WENDY ROGERS FOR US CONGRESS AZ-1,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 01/WENDY ROGERS FOR US CONGRESS AZ-1,,KPHO-TV
2018,AZ 07,Federal,RUBEN GALLEGO US CONGRESS AZ-07,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 07/RUBEN GALLEGO US CONGRESS AZ-07,,KPHO-TV
2018,AZ 08,Federal,DEBBIE LESKO NRCC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 08/DEBBIE LESKO NRCC,,KPHO-TV
2018,AZ 08,Federal,DEBBIE LESKO R CONGRESS,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 08/DEBBIE LESKO R CONGRESS,,KPHO-TV
2018,AZ 08,Federal,HIRAL TIPIRNENI DCONGRESS,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 08/HIRAL TIPIRNENI DCONGRESS,,KPHO-TV
2018,AZ 08,Federal,LESKO FOR CONGRESS-AZ REPUBLICAN PARTY,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 08/LESKO FOR CONGRESS-AZ REPUBLICAN PARTY,,KPHO-TV
2018,AZ 09,Federal,GREG STANTON - US CONGRESS AZ-09,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Federal/US House/AZ 09/GREG STANTON - US CONGRESS AZ-09,,KPHO-TV
